season,points_id,player_id,win_points,placement,match_id,location_name,nickname,cum_sum_placement,cum_sum_placement_season
2022/2023,202352310,3,115,2,52,"Xbowling Žižkov",Vrbic,137,57
2022/2023,202352410,4,113,3,52,"Xbowling Žižkov",Spinda,134,68
2022/2023,202353110,1,96,4,53,"Victoria Bowling",Pichy,153,77
2022/2023,202353210,2,182,1,53,"Victoria Bowling",Helcl,97,43
2022/2023,202353310,3,120,2,53,"Victoria Bowling",Vrbic,139,59
2022/2023,202353410,4,116,3,53,"Victoria Bowling",Spinda,137,71
2022/2023,202354110,1,114,3,54,"Victoria Bowling",Pichy,156,80
2022/2023,202354210,2,159,1,54,"Victoria Bowling",Helcl,98,44
2022/2023,202354310,3,157,2,54,"Victoria Bowling",Vrbic,141,61
2022/2023,202354410,4,112,4,54,"Victoria Bowling",Spinda,141,75
2022/2023,202355110,1,121,3,55,"Victoria Bowling",Pichy,159,83
2022/2023,202355210,2,107,4,55,"Victoria Bowling",Helcl,102,48
2022/2023,202355310,3,140,1,55,"Victoria Bowling",Vrbic,142,62
2022/2023,202355410,4,135,2,55,"Victoria Bowling",Spinda,143,77
2022/2023,202356110,1,132,3,56,"Victoria Bowling",Pichy,162,86
2022/2023,202356210,2,155,1,56,"Victoria Bowling",Helcl,103,49
2022/2023,202356310,3,152,2,56,"Victoria Bowling",Vrbic,144,64
2022/2023,202356410,4,110,4,56,"Victoria Bowling",Spinda,147,81
2022/2023,202357110,1,103,3,57,"Victoria Bowling",Pichy,165,89
2022/2023,202357210,2,187,1,57,"Victoria Bowling",Helcl,104,50
2022/2023,202357310,3,102,4,57,"Victoria Bowling",Vrbic,148,68
2022/2023,202357410,4,148,2,57,"Victoria Bowling",Spinda,149,83
2022/2023,202358110,1,152,2,58,"Victoria Bowling",Pichy,167,91
2022/2023,202358210,2,200,1,58,"Victoria Bowling",Helcl,105,51
2022/2023,202358310,3,99,4,58,"Victoria Bowling",Vrbic,152,72
2022/2023,202358410,4,121,3,58,"Victoria Bowling",Spinda,152,86
2022/2023,202359110,1,123,4,59,"Victoria Bowling",Pichy,171,95
2022/2023,202359210,2,137,1,59,"Victoria Bowling",Helcl,106,52
2022/2023,202359310,3,124,3,59,"Victoria Bowling",Vrbic,155,75
2022/2023,202359410,4,131,2,59,"Victoria Bowling",Spinda,154,88
2022/2023,202360110,1,123,2,60,"Victoria Bowling",Pichy,173,97
2022/2023,202360210,2,137,1,60,"Victoria Bowling",Helcl,107,53
2022/2023,202360310,3,114,4,60,"Victoria Bowling",Vrbic,159,79
2022/2023,202360410,4,122,3,60,"Victoria Bowling",Spinda,157,91
2022/2023,202361110,1,101,4,61,"Victoria Bowling",Pichy,177,101
2022/2023,202361210,2,124,1,61,"Victoria Bowling",Helcl,108,54
2022/2023,202361310,3,108,3,61,"Victoria Bowling",Vrbic,162,82
2022/2023,202361410,4,121,2,61,"Victoria Bowling",Spinda,159,93
2022/2023,202362110,1,114,3,62,"Victoria Bowling",Pichy,180,104
2022/2023,202362210,2,168,1,62,"Victoria Bowling",Helcl,109,55
2022/2023,202362310,3,109,4,62,"Victoria Bowling",Vrbic,166,86
2022/2023,202362410,4,147,2,62,"Victoria Bowling",Spinda,161,95
2022/2023,202363110,1,132,3,63,"Victoria Bowling",Pichy,183,107
2022/2023,202363210,2,140,2,63,"Victoria Bowling",Helcl,111,57
2022/2023,202363310,3,91,4,63,"Victoria Bowling",Vrbic,170,90
2022/2023,202363410,4,148,1,63,"Victoria Bowling",Spinda,162,96
2022/2023,202364110,1,121,2,64,"Victoria Bowling",Pichy,185,109
2022/2023,202364210,2,143,1,64,"Victoria Bowling",Helcl,112,58
2022/2023,202364310,3,100,4,64,"Victoria Bowling",Vrbic,174,94
2022/2023,202364410,4,108,3,64,"Victoria Bowling",Spinda,165,99
